UserName,ScreenName,Location,TweetAt,OriginalTweet,Sentiment,CleanedTweet
1,44953,NYC,02-03-2020,"TRENDING: New Yorkers encounter empty supermarket shelves (pictured, Wegmans in Brooklyn), sold-out online grocers (FoodKick, MaxDelivery) as #coronavirus-fearing shoppers stock up https://t.co/Gr76pcrLWh https://t.co/ivMKMsqdT1",Extremely Negative,"['trending', 'new', 'yorkers', 'encounter', 'empty', 'supermarket', 'shelves', 'pictured', 'wegmans', 'brooklyn', 'soldout', 'online', 'grocers', 'foodkick', 'maxdelivery', 'coronavirusfearing', 'shoppers', 'stock']"
2,44954,"Seattle, WA",02-03-2020,"When I couldn't find hand sanitizer at Fred Meyer, I turned to #Amazon. But $114.97 for a 2 pack of Purell??!!Check out how  #coronavirus concerns are driving up prices. https://t.co/ygbipBflMY",Positive,"['couldnt', 'find', 'hand', 'sanitizer', 'fred', 'meyer', 'turned', 'amazon', '11497', '2', 'pack', 'purellcheck', 'coronavirus', 'concerns', 'driving', 'prices']"
3,44955,,02-03-2020,Find out how you can protect yourself and loved ones from #coronavirus. ?,Extremely Positive,"['find', 'protect', 'loved', 'ones', 'coronavirus']"
4,44956,Chicagoland,02-03-2020,"#Panic buying hits #NewYork City as anxious shoppers stock up on food&amp;medical supplies after #healthcare worker in her 30s becomes #BigApple 1st confirmed #coronavirus patient OR a #Bloomberg staged event?

https://t.co/IASiReGPC4

#QAnon #QAnon2018 #QAnon2020 
#Election2020 #CDC https://t.co/29isZOewxu",Negative,"['panic', 'buying', 'hits', 'newyork', 'city', 'anxious', 'shoppers', 'stock', 'foodampmedical', 'supplies', 'healthcare', 'worker', '30s', 'becomes', 'bigapple', '1st', 'confirmed', 'coronavirus', 'patient', 'bloomberg', 'staged', 'event', 'qanon', 'qanon2018', 'qanon2020', 'election2020', 'cdc']"
5,44957,"Melbourne, Victoria",03-03-2020,#toiletpaper #dunnypaper #coronavirus #coronavirusaustralia #CoronaVirusUpdate #Covid_19 #9News  #Corvid19 #7NewsMelb #dunnypapergate #Costco    One week everyone buying baby milk powder the next everyone buying up toilet paper. https://t.co/ScZryVvsIh,Neutral,"['toiletpaper', 'dunnypaper', 'coronavirus', 'coronavirusaustralia', 'coronavirusupdate', 'covid19', '9news', 'corvid19', '7newsmelb', 'dunnypapergate', 'costco', 'one', 'week', 'everyone', 'buying', 'baby', 'milk', 'powder', 'next', 'everyone', 'buying', 'toilet', 'paper']"
6,44958,Los Angeles,03-03-2020,Do you remember the last time you paid $2.99 a gallon for regular gas in Los Angeles?Prices at the pump are going down. A look at how the #coronavirus is impacting prices. 4pm @ABC7 https://t.co/Pyzq8YMuV5,Neutral,"['remember', 'last', 'time', 'paid', '299', 'gallon', 'regular', 'gas', 'los', 'angelesprices', 'pump', 'going', 'look', 'coronavirus', 'impacting', 'prices', '4pm', 'abc7']"
7,44959,,03-03-2020,Voting in the age of #coronavirus = hand sanitizer ? #SuperTuesday https://t.co/z0BeL4O6Dk,Positive,"['voting', 'age', 'coronavirus', 'hand', 'sanitizer', 'supertuesday']"
8,44960,"Geneva, Switzerland",03-03-2020,"@DrTedros ""We cant stop #COVID19 without protecting #healthworkers.
Prices of surgical masks have increased six-fold, N95 respirators have more than trebled &amp; gowns cost twice as much""-@DrTedros #coronavirus",Neutral,"['drtedros', 'can\x92t', 'stop', 'covid19', 'without', 'protecting', 'healthworkers', 'prices', 'surgical', 'masks', 'increased', 'sixfold', 'n95', 'respirators', 'trebled', 'amp', 'gowns', 'cost', 'twice', 'muchdrtedros', 'coronavirus']"
9,44961,,04-03-2020,"HI TWITTER! I am a pharmacist. I sell hand sanitizer for a living! Or I do when any exists. Like masks, it is sold the fuck out everywhere. SHOULD YOU BE WORRIED? No. Use soap. SHOULD YOU VISIT TWENTY PHARMACIES LOOKING FOR THE LAST BOTTLE? No. Pharmacies are full of sick people.",Extremely Negative,"['hi', 'twitter', 'pharmacist', 'sell', 'hand', 'sanitizer', 'living', 'exists', 'like', 'masks', 'sold', 'fuck', 'everywhere', 'worried', 'use', 'soap', 'visit', 'twenty', 'pharmacies', 'looking', 'last', 'bottle', 'pharmacies', 'full', 'sick', 'people']"
10,44962,"Dublin, Ireland",04-03-2020,"Anyone been in a supermarket over the last few days? Went to do my NORMAL shop last night &amp; ??is the sight that greeted me. Barmy! (Btw, whats so special about tinned tomatoes? ????????????). #Covid_19 #Dublin https://t.co/rGsM8xUxr6",Extremely Positive,"['anyone', 'supermarket', 'last', 'days', 'went', 'normal', 'shop', 'last', 'night', 'amp', 'sight', 'greeted', 'barmy', 'btw', 'what\x92s', 'special', 'tinned', 'tomatoes', 'covid19', 'dublin']"
